Issuer,,,,,上海昶懋实业有限公司,,,,,
KAREMAX INDUSTRIAL LIMITED,,,,,KAREMAX INDUSTRIAL LIMITED,,,,,
" NO.217, NO.2 BUILDING ,NO.15 SOUTH OF ",,,,,上海自贸区日樱南路15号二幢二层217,,,,,
"RIYINH RD,FREE TRADE ZONE ",,,,,"NO.217, NO.2 Building, NO.15 South of Riying Rd, 
Free Trade Zone, Shanghai, China",,,,,
SHANGHAIHAI CHINA,,,,,装箱单,,,,,
To：MAYOR DE INSUMOS ALPHA& OMEGA C.A.,,,,,,,,,,
"URBANIZACION EL SOLER CALLE 206 NRO 47O-31, SAN FRANCISCO, ESTADO ZULIA, VENEZUELA",,,,,PACKING LIST,,,,,
,,,,,,,,,,
,,,,,Invoice No.,,,Date,,
,,,,,KM24MAO1022S-3,,,2025-01-14 00:00:00,,
Transport Details,,,,,S/C No.,,,Order No.,,
"FROM SHANGHAI,CHINA TO VENEZUELA",,,,,,,,,,
BY SEA,,,,,Terms of Payment: T/T,,,,,
,,,,,,,,,,
Marks and Numbers,,Description of Goods,,,Quantity,,CTNS,G.W.(KG),N.W.(KG),MEANS(M3)
,,,,,,,,,,
1,,DISPOSABLEMEDICAL  FACE MASK,DISPOSABLE FACE MASK,DISPOSABLE FACE MASK,700000,PCS,350,2890,2540,21.04
2,,OSTOMY BAG,OSTOMY BAG,OSTOMY BAG,825,KG,150,975,825,9.06
3,,NEEDLE WITH SUTURE,NEEDLE WITH SUTURE,NEEDLE WITH SUTURE,106.2,KG,18,120.2,106.2,1
4,,NEEDLE WITH SUTURE,NEEDLE WITH SUTURE,NEEDLE WITH SUTURE,66.3,KG,13,79.3,66.3,0.71
5,,GAUZE SWAB STERILE,GAUZE SWAB STERILE,GAUZE SWAB STERILE,140,KG,20,160,140,1.44
6,,ELASTIC BANDAGE,ELASTIC BANDAGE,ELASTIC BANDAGE,30060,PCS,167,1169,835,8.79
7,,FOLEY CATHETER,FOLEY CATHETER,FOLEY CATHETER,21500,PCS,43,550.4,485.9,3.98
8,,SURGICAL BLADE,SURGICAL BLADE,SURGICAL BLADE,200000,PCS,38,268,228,0.4
9,,MICROTOME BLADE,MICROTOME BLADE,MICROTOME BLADE,70,boxes,2,16,14,0.02
10,,ELECTRODE PADS,ELECTRODE PADS,ELECTRODE PADS,150000,PCS,75,285,247.5,2.06
11,,LAP SPONGE,LAP SPONGE,LAP SPONGE,4500,KG,375,4875,4500,14.18
12,,SUCTION CATHETER,SUCTION CATHETER,SUCTION CATHETER,20000,PCS,40,306,266,1.77
,,,,,,,,,,
,,TOTAL QUANTITY:,,,,,1291,11693.9,10253.9,64.45
